
variables
velocity (v_0)m/s,31.29
acceleration (a_0)m/s^2,-1.14
Thinking time (T) s,0.67
Time interval (t_c)s,0.25
v_target m/s,10

parameters
t_tartget s,19.34543859649123
lines ignored,35
m_max,3
n_max,110
x_max,110

line,time s,velocity m/s,distance from line 0 m,distance from junction m,spacing m,time for 1st click s,time for 2nd click s
38 (B),9.5,31.29,253.61437500000005,199.265625,5.364375000000081,9.523472392368099,9.594067263925934
39 (B),9.75,31.29,258.9074999999999,193.97250000000014,5.293124999999861,9.773790899854587,9.845348648498293
40 (B),10.0,31.29,264.129375,188.75062500000007,5.221875000000068,10.02411817600655,10.096665519736922
41 (B),10.25,31.29,269.28,183.60000000000008,5.150624999999991,10.274454588236798,10.348019376586818
42 (B),10.5,31.29,274.359375,178.52062500000005,5.079375000000027,10.52480052478994,10.59941180385851
43 (B),10.75,31.29,279.36750000000006,173.5125,5.008125000000064,10.775156396241078,10.850844478483623
44 (B),11.0,31.29,284.30437499999994,168.57562500000012,4.936874999999873,11.025522637125903,11.102319176327018
45 (B),11.25,31.29,289.1700000000001,163.70999999999998,4.865625000000136,11.275899707715846,11.35383777961444
46 (B),11.5,31.29,293.964375,158.91562500000003,4.794374999999945,11.526288095953438,11.605402285041475
47 (B),11.75,31.29,298.6875,154.19250000000005,4.723124999999982,11.776688319565267,11.85701481263844
48 (B),12.0,31.29,303.339375,149.54062500000003,4.651875000000018,12.027100928371604,12.108677615474686
49 (B),12.25,31.29,307.9200000000001,144.95999999999998,4.580625000000055,12.27752650681459,12.360393090297014
50 (B),12.5,31.29,312.42937500000005,140.450625,4.509374999999977,12.527965676729409,12.612163789209145
51 (B),12.75,31.29,316.86750000000006,136.0125,4.438125000000014,12.778419100386264,12.863992432513468
52 (B),13.0,31.29,321.234375,131.64562500000005,4.366874999999936,13.028887483834446,13.115881922852823
53 (B),13.25,31.29,325.53,127.35000000000008,4.295624999999973,13.279371580584229,13.367835360809067
54 (B),13.5,31.29,329.754375,123.12562500000007,4.224375000000009,13.529872195667094,13.619856062137254
55 (B),13.75,31.29,333.9075,118.97250000000003,4.1531250000000455,13.780390190120444,13.871947576839919
56 (B),14.0,31.29,337.989375,114.89062500000006,4.081874999999968,14.03092648594958,14.124113710315747
57 (B),14.25,31.29,342.0,110.88000000000005,4.0106250000000045,14.281482071627382,14.376358546851995
58 (B),14.5,31.29,345.93937500000004,106.94062500000001,3.939375000000041,14.532058008200911,14.628686475770506
59 (B),14.75,31.29,349.8075,103.07250000000005,3.8681249999999636,14.782655436084696,14.881102220585666
60 (B),15.0,31.29,353.604375,99.27562500000005,3.796875,15.033275582632621,15.133610871588822
61 (B),15.25,31.29,357.3299999999999,95.55000000000013,3.7256249999999227,15.283919770594661,15.386217922340721
62 (B),15.5,31.29,360.984375,91.89562500000005,3.6543750000000728,15.534589427581714,15.638929310632898
63 (B),15.75,31.29,364.5675,88.31250000000006,3.5831249999999955,15.785286096681668,15.891751464573218
64 (B),16.0,31.29,368.0793749999999,84.80062500000014,3.511874999999918,16.03601144839387,16.144691354563733
65 (B),16.25,31.29,371.52,81.36000000000007,3.440625000000068,16.28676729407716,16.397756552074014
66 (B),16.5,31.29,374.889375,77.99062500000008,3.369374999999991,16.537555601140674,16.650955296275967
67 (B),16.75,31.29,378.1875,74.69250000000005,3.2981250000000273,16.788378510247345,16.904296569802927
68 (B),17.0,31.29,381.41437499999995,71.4656250000001,3.22687499999995,17.03923835484841,17.157790185134274
69 (B),17.25,31.29,384.57000000000005,68.31,3.1556250000001,17.290137683427062,17.411446883398295
70 (B),17.5,31.29,387.65437499999996,65.2256250000001,3.084374999999909,17.54107928490031,17.665278447742036
71 (B),17.75,31.29,390.6675,62.212500000000034,3.013125000000059,17.79206621771651,17.919297833856653
72 (B),18.0,31.29,393.609375,59.27062500000005,2.941874999999982,18.043101843292067,18.17351932078896
73 (B),18.25,31.29,396.48,56.400000000000034,2.870625000000018,18.29418986456387,18.427958685847003
74 (B),18.5,31.29,399.27937499999996,53.60062500000009,2.799374999999941,18.545334370596084,18.682633408252524
75 (B),18.75,31.29,402.00750000000005,50.8725,2.728125000000091,18.79653988838349,18.93756290725928
76 (B),19.0,31.29,404.66437500000006,48.21562499999999,2.6568750000000136,19.047811443246555,19.192768821806062
77 (B),19.25,31.29,407.25,45.63000000000005,2.5856249999999363,19.2991546295328,19.44827534049707
78 (B),19.5,31.29,409.764375,43.11562500000008,2.5143749999999727,19.550575693742267,19.704109592917284
79 (B),19.75,31.29,412.2075,40.67250000000007,2.443125000000009,19.802081632708763,19.96030211616151
80 (B),20.0,31.29,414.579375,38.300625000000025,2.3718750000000455,20.05368031012803,20.216887414205594
81 (B),20.25,31.29,416.88,36.00000000000006,2.300624999999968,20.30538059557492,20.473904632691866
82 (B),20.5,31.29,419.109375,33.77062500000005,2.2293750000000045,20.55719253126043,20.73139837827898
83 (B),20.75,31.29,421.26750000000004,31.61250000000001,2.158125000000041,20.809127533233955,20.989419720550714
84 (B),21.0,31.29,423.354375,29.525625000000048,2.0868749999999636,21.06119863566289,21.248027426502066
85 (B),21.25,31.29,425.37,27.510000000000048,2.015625,21.31342078939657,21.50728949416285
86 (B),21.5,31.29,427.31437500000004,25.56562500000001,1.9443750000000364,21.56581122949824,21.76728507497629
87 (B),21.75,31.29,429.1875,23.692500000000052,1.873124999999959,21.818389931174295,22.0281069071466
88 (B),22.0,31.29,430.989375,21.890625000000057,1.8018749999999955,22.071180180082212,22.289864428973086
89 (B),22.25,31.29,432.72,20.160000000000025,1.7306250000000318,22.32420929216145,22.55268780954684
